,token,index
1222,유치원_,1222
1223,즐거웠_,1223
1224,깁니다_,1224
1225,다녀와_,1225
1226,통역사_,1226
1227,출장지_,1227
1228,어떠셨_,1228
1229,리무진_,1229
1230,아이폰_,1230
1231,장거리_,1231
1232,부동산_,1232
1233,가까우_,1233
1234,어댑터_,1234
1235,자판기_,1235
1236,레인지_,1236
1237,세탁물_,1237
1238,유산균_,1238
1239,지사제_,1239
1240,코엑스_,1240
1241,마셔야_,1241
1242,줘야지_,1242
1243,등록금_,1243
1244,반창고_,1244
1245,함부로_,1245
1246,유니폼_,1246
1247,출입구_,1247
1248,알아볼_,1248
1249,투숙객_,1249
1250,필리핀_,1250
1251,선보이_,1251
1252,한대요_,1252
1253,모서리_,1253
1254,트러블_,1254
1255,으셨던_,1255
1256,줄넘기_,1256
1257,기다린_,1257
1258,시킬까_,1258
1259,드렸었_,1259
1260,보험료_,1260
1261,지저분_,1261
1262,앞자리_,1262
1263,소책자_,1263
1264,케이블_,1264
1265,대리점_,1265
1266,종업원_,1266
1267,마셔서_,1267
1268,사직서_,1268
1269,상여금_,1269
1270,그래프_,1270
1271,일일이_,1271
1272,난이도_,1272
1273,태워다_,1273
1274,챙겨야_,1274
1275,일어난_,1275
1276,비상약_,1276
1277,인지도_,1277
1278,일어날_,1278
1279,칩니다_,1279
1280,스러울_,1280
1281,색다른_,1281
1282,솔루션_,1282
1283,접대비_,1283
1284,본다고_,1284
1285,니다_,1285
1286,는데_,1286
1287,나요_,1287
1288,에서_,1288
1289,으로_,1289
1290,어요_,1290
1291,세요_,1291
1292,가요_,1292
1293,까요_,1293
1294,네요_,1294
1295,니까_,1295
1296,해서_,1296
1297,그럼_,1297
1298,지만_,1298
1299,지금_,1299
1300,시간_,1300
1301,너무_,1301
1302,여기_,1302
1303,가능_,1303
1304,다고_,1304
1305,아요_,1305
1306,까지_,1306
1307,오늘_,1307
1308,어서_,1308
1309,우리_,1309
1310,은데_,1310
1311,게요_,1311
1312,혹시_,1312
1313,이번_,1313
1314,해야_,1314
1315,저희_,1315
1316,드리_,1316
1317,제품_,1317
1318,많이_,1318
1319,다른_,1319
1320,확인_,1320
1321,주문_,1321
1322,생각_,1322
1323,으면_,1323
1324,데요_,1324
1325,정말_,1325
1326,그렇_,1326
1327,회사_,1327
1328,아니_,1328
1329,인데_,1329
1330,정도_,1330
1331,어디_,1331
1332,라고_,1332
1333,는지_,1333
1334,예약_,1334
